	genotype
DQ164201_2004_USA_AZ_Yavapai_-111.867458_34.793858	SW03
DQ164202_2002_USA_OH_Licking_-82.477655_40.053836	NY99
DQ164203_2003_USA_CO_Park_-105.572407_39.261345	SW03
DQ164204_2003_USA_CO_Park_-105.630597_39.014264	WN02
DQ164206_2004_USA_TX_Harris_-94.961738_29.660265	WN02
DQ176637_2002_USA_TX_Hall_-100.597289_34.461802	WN02
DQ431693_2003_USA_TX_Potter_-102.15962_35.306606	WN02
DQ431694_2003_USA_TX_Potter_-101.769138_35.25544	WN02
DQ431695_2003_USA_IL_Cook_-87.829142_42.089286	WN02
DQ431696_2003_USA_WI_Milwaukee_-87.899448_43.151319	WN02
DQ431697_2003_USA_FL_Hillsborough_-82.128389_27.804235	NY99
DQ431698_2003_USA_FL_Hillsborough_-82.437159_27.82909	WN02
DQ431699_2003_USA_FL_Hillsborough_-82.665699_27.633354	WN02
DQ431700_2004_USA_CA_SanFrancisco_-122.475198_37.717829	WN02
DQ431702_2004_USA_CO_Mesa_-108.848773_38.75719	SW03
DQ431703_2004_USA_CO_Mesa_-108.926582_38.812984	SW03
DQ431704_2004_USA_CO_Mesa_-108.658831_38.54393	SW03
DQ431705_2004_USA_ND_Burleigh_-100.333002_46.768419	WN02
DQ431707_2004_USA_NM_Bernalillo_-106.909903_34.890229	SW03
DQ431708_2004.5383_USA_CA_SanDiego_-117.235201_32.773258	WN02
DQ431709_2004.5383_USA_CA_LosAngeles_-118.590471_33.038366	WN02
DQ431710_2004.5792_USA_CA_LosAngeles_-118.590778_33.037316	WN02
DQ431711_2004_USA_AZ_Maricopa_-111.867048_33.433222	SW03
DQ431712_2004_USA_AZ_Maricopa_-112.127544_33.417541	SW03
DQ666448_2004_USA_AZ_Yavapai_-112.717076_34.471858	SW03
DQ666449_2005_USA_TX_Concho_-99.952113_31.338301	SW03
DQ666450_2005_USA_TX_Concho_-99.639629_31.352086	WN02
DQ666451_2005_USA_AZ_Yavapai_-112.063767_34.354469	SW03
DQ666452_2005_USA_SD_Stanley_-100.928912_44.577618	SW03
DQ983578_2003_USA_FL_IndianRiver_-80.468064_27.828094	NY99
FJ151394_1999_USA_NY_NewYork_-73.939366_40.791554	NY99
GQ507468_2005.5863_USA_TX_ElPaso_-106.148527_31.761297	SW03
GQ507469_2005.6658_USA_NM_DonaAna_-107.131948_32.076228	SW03
GQ507470_2006.6603_USA_TX_ElPaso_-106.361663_31.969056	SW03
GQ507471_2007.474_USA_TX_ElPaso_-106.175348_31.687562	SW03
GQ507472_2003.5315_USA_CA_Orange_-117.998521_33.674233	WN02
GQ507473_2004.5601_USA_CA_LosAngeles_-118.139914_33.739279	WN02
GQ507474_2004.653_USA_CA_SanBernardino_-114.62323_34.289185	WN02
GQ507475_2005.4849_USA_CA_SanBernardino_-115.341713_34.961144	WN02
GQ507476_2005.5671_USA_CA_SanBernardino_-115.297559_34.202684	WN02
GQ507478_2005.6493_USA_CA_LosAngeles_-118.316942_34.750507	WN02
GQ507479_2005.6877_USA_AZ_Pima_-111.651153_32.37006	SW03
GQ507480_2005.7562_USA_CA_LosAngeles_-118.432091_32.803285	SW03
GQ507481_2006.6384_USA_NE_Douglas_-96.078191_41.241343	WN02
GQ507482_2006.6712_USA_AZ_Pima_-113.176568_32.061272	SW03
GQ507483_2007.5836_USA_CA_LosAngeles_-118.120816_33.748049	WN02
GU827999_2003_USA_TX_Montgomery_-95.483985_30.139875	WN02
GU828000_2003_USA_TX_Harris_-95.0861_29.799225	WN02
GU828001_2003_USA_TX_Harris_-94.986891_29.696813	WN02
GU828002_2003_USA_TX_Harris_-95.078274_29.76798	WN02
GU828003_2003_USA_TX_Jefferson_-94.318758_29.755765	WN02
GU828004_2003_USA_TX_Montgomery_-95.623476_30.341186	WN02
HM488117_2005.6384_USA_CT_Fairfield_-73.401111_41.059525	WN02
HM488121_2005.7315_USA_CT_Fairfield_-73.39093_41.065529	WN02
HM488125_1999.7425_USA_CT_Fairfield_-73.644939_40.996449	NY99
HM488128_1999.737_USA_CT_Fairfield_-73.611878_40.989086	NY99
HM488129_2000.7213_USA_CT_NewHaven_-72.756853_41.254273	NY99
HM488130_2000.7131_USA_CT_NewHaven_-72.748047_41.252046	NY99
HM488131_2000.7213_USA_CT_NewHaven_-72.653052_41.213122	NY99
HM488132_2000.7186_USA_CT_Fairfield_-73.657938_40.982695	NY99
HM488135_2001.6795_USA_CT_Fairfield_-73.482443_41.60001	NY99
HM488136_2001.6822_USA_CT_Fairfield_-73.381637_41.090785	NY99
HM488137_2002.6329_USA_CT_Fairfield_-73.3661_41.086395	WN02
HM488138_2003.6274_USA_CT_Fairfield_-73.38454_41.070112	WN02
HM488139_2003.7644_USA_CT_Fairfield_-73.657975_40.982857	WN02
HM488140_2003.611_USA_CT_Fairfield_-73.401913_41.061394	WN02
HM488142_2004.5273_USA_CT_Fairfield_-73.389267_41.071019	WN02
HM488143_2004.6038_USA_CT_Fairfield_-73.415581_41.051069	WN02
HM488147_2004.6995_USA_CT_Fairfield_-73.457456_41.059619	WN02
HM488148_2004.7568_USA_CT_Fairfield_-73.458891_41.051087	WN02
HM488155_2006.663_USA_CT_Fairfield_-73.358755_41.082773	WN02
HM488157_2006.7123_USA_CT_Fairfield_-73.459421_41.050277	WN02
HM488159_2006.6164_USA_CT_Fairfield_-73.657883_40.982796	WN02
HM488160_2006.7315_USA_CT_Fairfield_-73.643966_40.996207	WN02
HM488162_2007.674_USA_CT_Fairfield_-73.387099_41.068468	WN02
HM488164_2007.6603_USA_CT_Fairfield_-73.392687_41.065653	WN02
HM488165_2007.6603_USA_CT_Fairfield_-73.373167_41.068763	WN02
HM488170_2008.7077_USA_CT_Fairfield_-73.459012_41.049942	WN02
HM488171_2003.5151_USA_CT_Fairfield_-73.392628_41.06459	WN02
HM488173_2003.611_USA_CT_NewHaven_-72.75885_41.24867	WN02
HM488174_2003.611_USA_CT_NewHaven_-73.053887_41.190592	WN02
HM488175_2003.6301_USA_CT_Hartford_-72.865584_41.552126	NY99
HM488208_2002.6301_USA_CT_Fairfield_-73.390586_41.071147	WN02
HM488209_2003.6164_USA_CT_Fairfield_-73.643759_40.99684	WN02
HM488210_2003.6274_USA_CT_NewHaven_-72.758177_41.254175	WN02
HM488212_2003.6301_USA_CT_NewHaven_-72.757037_41.250093	WN02
HM488213_2003.6329_USA_CT_Fairfield_-73.387183_41.072225	WN02
HM488214_2003.6329_USA_CT_Fairfield_-73.371153_41.070569	WN02
HM488215_2003.6329_USA_CT_Fairfield_-73.404056_41.053172	WN02
HM488216_2003.6329_USA_CT_Windham_-71.90362_41.643688	WN02
HM488218_2003.6466_USA_CT_Fairfield_-73.643232_40.997198	NY99
HM488219_2003.6466_USA_CT_Hartford_-72.982036_41.718378	WN02
HM488220_2003.6466_USA_CT_NewHaven_-72.750239_41.249915	WN02
HM488221_2003.6712_USA_CT_NewLondon_-72.001053_41.458789	WN02
HM488222_2003.6877_USA_CT_NewLondon_-72.052098_41.316966	WN02
HM488224_2003.6932_USA_CT_Fairfield_-73.61292_40.988526	WN02
HM488226_2003.7041_USA_CT_NewHaven_-72.748659_41.254133	WN02
HM488228_2003.7041_USA_CT_NewHaven_-72.760353_41.241775	WN02
HM488230_2003.7068_USA_CT_Windham_-71.958185_41.919869	WN02
HM488232_2003.7096_USA_CT_Middlesex_-72.463586_41.262301	WN02
HM488234_2003.7096_USA_CT_NewHaven_-72.747078_41.252767	WN02
HM488235_2003.7288_USA_CT_Fairfield_-73.371649_41.071788	WN02
HM488236_2003.7863_USA_CT_Middlesex_-72.476188_41.256663	NY99
HM756648_2002.7288_USA_CT_Fairfield_-73.190918_41.319004	WN02
HM756651_2003.6466_USA_CT_Fairfield_-73.628502_40.982723	WN02
HM756652_2003.6493_USA_CT_Middlesex_-72.529893_41.264245	WN02
HM756653_2003.6493_USA_CT_Middlesex_-72.527395_41.265419	NY99
HM756654_2003.6877_USA_CT_Fairfield_-73.458777_41.050898	WN02
HM756656_2003.7096_USA_CT_NewLondon_-72.209821_41.472893	WN02
HM756657_2003.7479_USA_CT_Fairfield_-73.372459_41.070474	WN02
HM756658_2003.7644_USA_CT_NewLondon_-71.975199_41.330811	WN02
HM756659_2003.7671_USA_CT_Middlesex_-72.476165_41.257131	WN02
JF415914_2005_USA_TX_Harris_-95.040284_29.72061	SW03
JF415916_2006_USA_TX_Harris_-95.0713_29.787222	WN02
JF415917_2007_USA_TX_Harris_-95.035004_29.718089	WN02
JF415918_2007_USA_TX_Harris_-94.951102_29.640289	WN02
JF415919_2007_USA_TX_Harris_-94.976371_29.689632	SW03
JF415920_2007_USA_TX_Harris_-95.088605_29.776336	WN02
JF415921_2008_USA_TX_Harris_-95.133633_30.011873	SW03
JF415922_2009_USA_TX_Harris_-94.957312_29.64838	WN02
JF415924_2009_USA_TX_Harris_-95.088808_29.805522	WN02
JF415929_2005_USA_TX_Harris_-95.07607_29.769394	WN02
JF415930_2006_USA_TX_Harris_-95.031187_29.725386	WN02
JF703161_2004.5_USA_CA_Imperial_-115.727397_33.379605	WN02
JF703162_2003.5342_USA_CA_Imperial_-115.821645_33.22027	WN02
JF703163_2005.8521_USA_CA_Riverside_-116.817307_33.589985	SW03
JF703164_2003_USA_CA_Imperial_-114.590696_32.869214	WN02
JX015515_2005.4877_USA_TX_ElPaso_-106.08118_31.725791	SW03
JX015516_2007.6164_USA_TX_ElPaso_-106.034857_31.576269	SW03
JX015517_2008.6503_USA_TX_ElPaso_-106.156314_31.928666	SW03
JX015518_2008.6885_Mexico_Chihuahua_CiudadJuarez_-106.4869_31.7394	SW03
JX015520_2009.6082_Mexico_Chihuahua_CiudadJuarez_-106.4869_31.7394	SW03
JX015522_2010.6247_USA_TX_ElPaso_-106.026736_31.694134	WN02
JX015523_2010.663_USA_TX_ElPaso_-106.527614_31.779515	SW03
KC333375_2012.5902_USA_TX_Harris_-95.075699_29.764867	SW03
KC333376_2012.4508_USA_TX_Harris_-95.071076_29.78511	WN02
KC333378_2012.4891_USA_TX_Harris_-94.983769_29.691534	WN02
KC333379_2012.4891_USA_TX_Harris_-94.946164_29.626495	WN02
KC333381_2012.5055_USA_TX_Harris_-95.085169_29.769034	WN02
KC333383_2012.5109_USA_TX_Harris_-95.087399_29.780632	WN02
KC333384_2012.5246_USA_TX_Harris_-95.042258_29.716005	WN02
KC333387_2012.5437_USA_TX_Harris_-94.981683_29.691695	WN02
KC711057_2012.4098_USA_TX_Denton_-97.050719_33.229881	WN02
KC711058_2012.4262_USA_TX_Collin_-96.673682_33.121911	WN02
KC711059_2012.7705_USA_TX_Collin_-96.329565_33.333673	WN02
KC736488_2012.5_USA_TX_Montgomery_-95.149072_30.270884	WN02
KC736490_2012.5_USA_TX_Montgomery_-95.54212_30.350982	WN02
KC736491_2012.5027_USA_TX_Dallas_-96.945603_32.845782	WN02
KC736492_2012.5027_USA_TX_Dallas_-96.600936_32.605819	WN02
KC736493_2012.5027_USA_TX_Dallas_-96.815398_32.931631	WN02
KC736495_2012.623_USA_TX_Dallas_-96.893535_32.819739	WN02
KC736500_2012.6557_USA_TX_Dallas_-96.995328_32.657511	WN02
KC736502_2012.5027_USA_TX_Dallas_-96.540402_32.779748	WN02
KF704147_2010.5808_USA_AZ_Maricopa_-112.949501_32.64267	SW03
KF704153_2010.5945_USA_AZ_Maricopa_-112.505782_32.625986	SW03
KJ501233_2001.7151_USA_AR_Union_-92.266432_33.030837	NY99
KJ501234_2001.7342_USA_AR_Saline_-92.54645_34.560047	NY99
KJ501235_2001.7342_USA_AR_Sebastian_-94.308543_34.95872	NY99
KJ501236_2009.7014_USA_CA_Imperial_-115.155158_32.966758	SW03
KJ501237_2008.6011_USA_MN_LacquiParle_-96.042895_45.002162	WN02
KJ501238_2008.6093_USA_MN_LacquiParle_-96.184197_44.953402	WN02
KJ501239_2008.6202_USA_MN_LacquiParle_-95.881738_44.903805	WN02
KJ501240_2008.7514_USA_MN_LacquiParle_-96.1923_45.181663	WN02
KJ501241_2009.6356_USA_MN_Swift_-95.411418_45.384522	WN02
KJ501242_2010.6822_USA_MN_Swift_-95.934753_45.192944	WN02
KJ501249_2001.7534_USA_MO_SaintLouis_-90.50268_38.739714	WN02
KJ501250_2009.6438_USA_MT_Phillips_-107.727608_47.812101	SW03
KJ501251_2009.6932_USA_MT_Flathead_-113.801242_48.460637	WN02
KJ501253_2008.3142_USA_ND_Burleigh_-100.839309_46.896879	SW03
KJ501254_2008.6366_USA_ND_McLean_-100.897202_47.505293	WN02
KJ501255_2008.653_USA_ND_Stutsman_-98.620498_46.657242	WN02
KJ501256_2009.6521_USA_ND_Mountrail_-102.529425_48.303281	WN02
KJ501257_2002.6658_USA_ND_GrandForks_-97.419431_47.836586	WN02
KJ501259_2008.0055_USA_SD_Yankton_-97.608231_42.988207	WN02
KJ501260_2008.5765_USA_SD_Day_-97.604302_45.260546	WN02
KJ501264_2001.6986_USA_GA_Fulton_-84.27267_34.171485	NY99
KJ501267_2005.6822_USA_NV_Pershing_-119.26272_40.897518	WN02
KJ501268_2001.8301_USA_NJ_Ocean_-74.133951_39.769405	NY99
KJ501269_2001.8137_USA_NJ_Middlesex_-74.493313_40.555304	NY99
KJ501274_2001.7178_USA_OH_Cuyahoga_-81.654668_41.299039	WN02
KJ501275_2001.7014_USA_OH_Cuyahoga_-81.560107_41.530238	NY99
KJ501276_2002.6411_USA_OH_Hancock_-83.772682_41.159296	NY99
KJ501277_2001.6384_USA_PA_Philadelphia_-75.06238_40.093164	NY99
KJ501282_2001.737_USA_WI_Waushara_-89.389608_44.003356	NY99
KJ501283_2001.7589_USA_WI_Milwaukee_-87.882419_43.097948	WN02
KJ501286_2002.737_USA_WI_Milwaukee_-88.033356_42.849098	WN02
KJ501288_2001.7123_USA_DC_DistrictofColumbia_-76.948839_38.919233	NY99
KJ501289_2001.7507_USA_DC_DistrictofColumbia_-76.989687_38.864771	NY99
KJ501293_2003.7507_USA_MD_PrinceGeorges_-76.955205_38.98332	NY99
KJ501297_2003.6274_USA_MT_Phillips_-107.806762_47.703994	SW03
KJ501306_2002.737_USA_MI_Lenawee_-83.878654_41.784062	WN02
KJ501307_2002_USA_MN_Marshall_-95.967272_48.425261	WN02
KJ501308_2010.6986_USA_MN_Swift_-95.706926_45.278183	WN02
KJ501322_2002.6904_USA_MN_Marshall_-96.326079_48.177237	WN02
KJ501323_2003.5781_USA_MN_LacquiParle_-95.998753_44.989168	SW03
KJ501324_2003.6575_USA_MN_OtterTail_-95.562412_46.417049	SW03
KJ501326_2003.5945_USA_MT_Sheridan_-104.240227_48.650805	SW03
KJ501327_2003.5945_USA_MT_Phillips_-107.820094_47.593126	WN02
KJ501329_2003.5918_USA_ND_Morton_-101.451565_46.716009	WN02
KJ501330_2005.6466_USA_ND_McLean_-101.0625_47.821427	WN02
KJ501331_2002.6959_USA_OH_Montgomery_-84.216811_39.879222	WN02
KJ501335_2005.6301_USA_WI_Dodge_-88.480749_43.516129	SW03
KJ501336_2001.6822_USA_AL_Calhoun_-85.716195_33.843743	WN02
KJ501341_2005.5808_USA_CA_Glenn_-122.055211_39.679158	WN02
KJ501342_2005.7041_USA_CA_SanDiego_-116.342781_32.9856	WN02
KJ501346_2003.1096_USA_MO_Holt_-95.336422_40.241457	WN02
KJ501348_2003.6877_USA_NM_Socorro_-107.161304_34.193851	SW03
KJ501349_2003.5781_USA_ND_Logan_-99.203796_46.542251	SW03
KJ501350_2003.5945_USA_ND_Sargent_-97.694061_46.169214	WN02
KJ501354_2003.7315_USA_OK_Payne_-97.345071_36.05772	SW03
KJ501361_2001.7589_USA_OH_Knox_-82.373327_40.401127	WN02
KJ501362_2001.7479_USA_OH_Cuyahoga_-81.616047_41.47147	NY99
KJ501363_2001.7014_USA_OH_Franklin_-83.133264_40.021314	NY99
KJ501372_2003.7699_USA_FL_Seminole_-81.283871_28.781368	WN02
KJ501374_2001.8466_USA_NJ_Union_-74.210328_40.595849	NY99
KJ501376_2002.7096_USA_OH_Medina_-81.842006_41.199636	WN02
KJ501377_2001.6411_USA_OH_Allen_-84.209409_40.68497	WN02
KJ501378_2001.7178_USA_PA_Bucks_-75.277_40.44465	NY99
KJ501379_2001.737_USA_WI_Dane_-89.335637_43.078088	NY99
KJ501381_2003.5753_USA_MN_LacquiParle_-96.419217_44.809025	SW03
KJ501382_2003.6575_USA_MN_OtterTail_-95.800419_46.660013	WN02
KJ501385_2004.5929_USA_MT_Sheridan_-104.537444_48.546603	SW03
KJ501386_2007.5671_USA_MT_Phillips_-107.608124_48.795887	WN02
KJ501395_2001.7562_USA_VA_Arlington_-77.158942_38.890809	NY99
KJ501397_2002.6411_USA_AL_Madison_-86.72648_34.917623	WN02
KJ501440_2008.5765_USA_SD_Day_-97.764761_45.524838	WN02
KJ501441_2008.7486_USA_SD_Pennington_-103.057101_44.099253	WN02
KJ501442_2010.3781_USA_AZ_Maricopa_-112.808465_32.723008	WN02
KJ501443_2001.7973_USA_IL_Will_-88.238982_41.569751	NY99
KJ501453_2001.7589_USA_WI_Racine_-87.84365_42.763306	WN02
KJ501454_2001.7589_USA_WI_Dane_-89.200214_43.088173	WN02
KJ501455_2001.7014_USA_AL_Montgomery_-86.406652_32.125278	NY99
KJ501459_2003_USA_OK_Payne_-96.867819_35.955649	WN02
KJ501461_2005.6658_USA_MT_Phillips_-107.628295_47.983965	WN02
KJ501462_2002.6959_USA_UT_Weber_-112.048209_41.212219	SW03
KJ501465_2001.6438_USA_MI_Oakland_-83.424862_42.6377	NY99
KJ501466_2002.7178_USA_MI_Lapeer_-83.254977_42.936918	WN02
KJ501467_2002.737_USA_MI_Wayne_-83.172902_42.078683	WN02
KJ501468_2001.737_USA_MS_Adams_-91.303208_31.578763	NY99
KJ501469_2003.6192_USA_NE_Knox_-97.60583_42.759846	WN02
KJ501470_2003.5918_USA_SD_Day_-97.440592_45.278317	WN02
KJ501471_2005.611_USA_AZ_Coconino_-112.36529_35.745487	SW03
KJ501473_2001.737_USA_IL_Dupage_-88.069963_41.988845	NY99
KJ501474_2002.737_USA_IA_Kossuth_-94.439778_43.295122	WN02
KJ501479_2002.674_USA_KY_Boone_-84.780293_39.106439	WN02
KJ501480_2001.6986_USA_MD_AnneArundel_-76.637317_39.053705	NY99
KJ501485_2006.5425_USA_NV_Churchill_-117.909717_39.554608	SW03
KJ501486_2001.7096_USA_NJ_Mercer_-74.732862_40.208352	NY99
KJ501488_2003.5562_USA_ND_Stutsman_-98.560205_46.707134	WN02
KJ501493_2001.7507_USA_DC_DistrictofColumbia_-77.06884_38.95728	NY99
KJ501496_2001.7726_USA_IL_Cook_-87.717451_41.788353	WN02
KJ501499_2003.7507_USA_MD_PrinceGeorges_-76.678917_38.884697	WN02
KJ501500_2009.9726_USA_MD_Talbot_-76.095655_38.753857	WN02
KJ501504_2003.6137_USA_ND_Burleigh_-100.320696_47.166403	WN02
KJ501506_2003.7452_USA_OK_Payne_-96.848614_35.999604	WN02
KJ501507_2001.6603_USA_SD_Bennett_-101.312341_43.006867	WN02
KJ501509_2001.8548_USA_WI_Milwaukee_-88.016651_43.056547	WN02
KJ501512_2001.7507_USA_GA_Fulton_-84.3574_34.089419	NY99
KJ501515_2001.8301_USA_NJ_Middlesex_-74.45554_40.569605	NY99
KJ501516_2001.7178_USA_OH_Wood_-83.534368_41.17912	NY99
KJ501518_2007.5671_USA_MT_Phillips_-107.747997_48.606378	SW03
KJ786935_2012.6393_USA_TX_Harris_-94.951736_29.637943	WN02
KR348916_2008.6284_USA_CA_ContraCosta_-121.951916_37.943873	WN02
KR348919_2009.5726_USA_CA_ContraCosta_-121.715873_37.976738	SW03
KR348920_2009.1808_USA_CA_ContraCosta_-121.641437_37.851241	WN02
KR348921_2009.1808_USA_CA_ContraCosta_-121.82233_37.974658	SW03
KR348922_2009.6274_USA_CA_ContraCosta_-121.965751_37.956998	SW03
KR348925_2003.6301_USA_CA_Imperial_-115.253768_32.844253	WN02
KR348928_2007.7644_USA_CA_Riverside_-114.882177_33.554546	SW03
KR348929_2008.765_USA_CA_Riverside_-114.951352_33.528235	SW03
KR348930_2009.0219_USA_CA_Riverside_-116.146488_33.760326	SW03
KR348935_2005.4055_USA_CA_Riverside_-114.86499_33.676462	WN02
KR348936_2008.7322_USA_CA_Riverside_-115.722342_33.68405	WN02
KR348939_2005.463_USA_CA_Riverside_-116.677169_33.765293	WN02
KR348943_2004.2842_USA_CA_Riverside_-117.24635_33.533466	WN02
KR348945_2004.3224_USA_CA_Riverside_-114.788924_33.456065	WN02
KR348946_2008.5601_USA_CA_LosAngeles_-118.162839_33.742925	SW03
KR348948_2004.623_USA_CA_Riverside_-116.621038_33.453567	SW03
KR348949_2004.6448_USA_CA_Riverside_-116.753776_33.499691	WN02
KR348951_2004.3743_USA_CA_LosAngeles_-118.23587_33.713233	WN02
KR348952_2007.7945_USA_CA_LosAngeles_-118.138053_33.740462	WN02
KR348955_2007.3589_USA_CA_LosAngeles_-118.160366_33.751977	SW03
KR348966_2011.8219_USA_CA_LosAngeles_-118.264242_33.844599	WN02
KR348974_2004.1831_USA_CA_LosAngeles_-118.117729_33.747221	WN02
KR348975_2004.1831_USA_CA_LosAngeles_-118.493938_32.913738	SW03
KR348976_2011.5425_USA_CA_Inyo_-116.513662_36.093699	SW03
KR348978_2008.4863_USA_CA_Kern_-118.334001_35.266084	SW03
KR348979_2004.5301_USA_CA_Kern_-117.656969_35.292647	SW03
KR348981_2011.0219_USA_CA_Kern_-118.91445_35.77008	SW03
KR348987_2008.7705_USA_CA_Kern_-118.022807_35.187598	SW03
KR348988_2008.9372_USA_CA_Kern_-119.059064_35.644115	SW03
KR348991_2007.7014_USA_CA_Kern_-118.666547_34.827052	SW03
KR348993_2011.5507_USA_CA_SanBernardino_-115.076518_34.852111	SW03
KR348994_2005.6438_USA_CA_Sacramento_-121.133381_38.369157	WN02
KR348995_2005.6411_USA_CA_Sacramento_-121.859189_38.043503	WN02
KR348996_2004.6066_USA_CA_Sacramento_-121.870735_38.041034	WN02
KR348997_2005.4904_USA_CA_Sacramento_-121.281015_38.258597	WN02
KR348998_2008.4863_USA_CA_Sacramento_-121.845016_38.040525	WN02
KR348999_2005.5425_USA_CA_Sacramento_-121.232601_38.282065	WN02
KR349000_2008.5628_USA_CA_Sacramento_-121.042361_38.330853	WN02
KR349001_2011.0219_USA_CA_Sacramento_-121.276375_38.646796	WN02
KR349002_2011.0219_USA_CA_Sacramento_-121.157491_38.487352	WN02
KR349003_2011.0219_USA_CA_Sacramento_-121.348969_38.709632	WN02
KR349004_2011.0219_USA_CA_Sacramento_-121.846575_38.034661	WN02
KR349006_2011.0219_USA_CA_Sacramento_-121.869078_38.039693	WN02
KR349007_2005.5342_USA_CA_Solano_-122.02176_38.080023	WN02
KR349008_2005.5342_USA_CA_Yolo_-121.889668_38.710291	WN02
KR349009_2005.5342_USA_CA_Solano_-122.030728_38.071851	WN02
KR349010_2005.5644_USA_CA_Sacramento_-121.487359_38.508622	WN02
KR349011_2005.5699_USA_CA_Sacramento_-121.869006_38.044634	WN02
KR349013_2007.7315_USA_CA_Sacramento_-121.532551_38.624509	WN02
KR349014_2008.6503_USA_CA_Yolo_-121.852283_38.572394	SW03
KR349015_2004.8525_USA_CA_Sacramento_-121.432454_38.475477	WN02
KR349016_2004.6148_USA_CA_Yolo_-121.835127_38.71541	WN02
KR349017_2007.5616_USA_CA_Shasta_-121.382234_40.781593	WN02
KR349018_2007.5644_USA_CA_Shasta_-121.755933_40.579809	WN02
KR349019_2009.6466_USA_CA_Shasta_-122.040991_40.888979	SW03
KR349020_2011.1068_USA_CA_Shasta_-122.194637_40.715409	WN02
KR349023_2004.6148_USA_CA_Yolo_-121.761123_38.773194	WN02
KR349024_2003.6301_USA_CA_Imperial_-114.503042_32.996495	WN02
KR349025_2007.5616_USA_CA_Shasta_-121.617005_40.964618	WN02
KR349026_2011.6986_USA_CA_Sutter_-121.766251_38.902919	WN02
KR868734_2012.6393_USA_CO_Larimer_-105.095844_40.958828	WN02
